,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,（品目分類）第２表　１世帯当たりの品目別支出金額（総世帯）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Commodity Classification) Table 2. Yearly Amount of Expenditures of Commodities per Household (Total Households) ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,単位　円,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,In  Yen,,,,
,,,,,,,項      目,,,,,,,,,,,,,,,,,Item,,,,,,,
,,,,,,,,,,,,,,,,平成21年,22,23,24,25,26,27,28,,,,,,,,
,,,,,,,,,,,,,,,,計,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000P,80*01       ,            ,01,,86,,,,乳卵類,,,,,,,"32,561","32,544","32,334","33,193","33,833","34,882","36,107","37,320",,Dairy products & eggs,,,,,,
1000P,80*01       ,            ,01,,87,,,,,牛乳,,,,,,"13,738","13,498","12,851","12,698","12,779","12,535","12,836","12,654",,Fresh milk,,,,,,
1000P,80*01       ,            ,01,,88,,,,,乳製品,,,,,,"11,844","12,224","12,473","13,836","14,364","15,034","15,898","17,115",,Dairy products,,,,,,
1000P,80*01       ,            ,01,,89,,,,,,粉ミルク,,,,,606,518,555,490,431,460,433,518,,Powdered milk,,,,,,
1000P,80*01       ,            ,01,,90,,,,,,ヨーグルト,,,,,"6,812","7,181","7,380","8,664","9,171","9,526","10,316","11,191",,Yogurt,,,,,,
1000P,80*01       ,            ,01,,91,,,,,,バター,,,,,669,680,698,728,742,790,759,767,,Butter,,,,,,
1000P,80*01       ,            ,01,,92,,,,,,チーズ,,,,,"3,242","3,335","3,385","3,499","3,573","3,838","3,977","4,232",,Cheese,,,,,,
1000P,80*01       ,            ,01,,93,,,,,,他の乳製品,,,,,514,508,456,455,447,419,414,407,,Other dairy products,,,,,,
1000P,80*01       ,            ,01,,94,,,,,卵,,,,,,"6,979","6,821","7,010","6,659","6,689","7,313","7,372","7,550",,Eggs,,,,,,
1000P,80*01       ,            ,01,,95,,,,野菜・海藻,,,,,,,"82,869","83,802","82,430","81,454","83,343","84,365","87,695","88,219",,Vegetables & seaweeds,,,,,,
1000P,80*01       ,            ,01,,96,,,,,生鮮野菜,,,,,,"52,014","53,922","52,778","52,716","54,446","55,482","58,327","58,727",,Fresh vegetables,,,,,,
1000P,80*01       ,            ,01,,97,,,,,,葉茎菜,,,,,"15,770","16,697","15,809","16,263","16,985","17,185","18,275","18,394",,Leafy vegetables,,,,,,
1000P,80*01       ,            ,01,,98,,,,,,,キャベツ,,,,"2,020","2,188","2,017","2,070","2,253","2,356","2,600","2,493",,Cabbage,,,,,,
1000P,80*01       ,            ,01,,99,,,,,,,ほうれんそう,,,,"1,710","1,766","1,690","1,753","1,729","1,778","1,821","1,777",,Spinach,,,,,,
1000P,80*01       ,            ,01,,100,,,,,,,はくさい,,,,934,"1,039",991,949,"1,086","1,031","1,049","1,167",,Chinese cabbage,,,,,,
1000P,80*01       ,            ,01,,101,,,,,,,ねぎ,,,,"2,247","2,499","2,342","2,302","2,375","2,328","2,468","2,550",,Welsh onions,,,,,,
1000P,80*01       ,            ,01,,102,,,,,,,レタス,,,,"1,637","1,744","1,678","1,875","2,039","2,000","2,235","2,201",,Lettuce,,,,,,
1000P,80*01       ,            ,01,,103,,,,,,,ブロッコリー,,,,"1,283","1,259","1,282","1,400","1,434","1,517","1,652","1,697",,Broccoli,,,,,,
1000P,80*01       ,            ,01,,104,,,,,,,もやし,,,,888,928,885,867,820,821,817,800,,Bean sprouts,,,,,,
1000P,80*01       ,            ,01,,105,,,,,,,他の葉茎菜,,,,"5,052","5,274","4,925","5,047","5,250","5,353","5,634","5,709",,Other leafy vegetables,,,,,,
1000P,80*01       ,            ,01,,106,,,,,,根菜,,,,,"14,175","14,710","14,752","14,060","14,255","14,834","15,405","15,648",,Root vegetables,,,,,,
1000P,80*01       ,            ,01,,107,,,,,,,さつまいも,,,,865,837,815,825,808,811,895,898,,Sweet potatoes,,,,,,
1000P,80*01       ,            ,01,,108,,,,,,,じゃがいも,,,,"2,046","2,173","2,281","1,918","1,853","1,979","2,139","2,233",,White potatoes,,,,,,
1000P,80*01       ,            ,01,,109,,,,,,,さといも,,,,767,743,750,731,726,738,773,727,,Taros,,,,,,
1000P,80*01       ,            ,01,,110,,,,,,,だいこん,,,,"1,417","1,481","1,426","1,411","1,519","1,464","1,525","1,532",,Radishes,,,,,,
1000P,80*01       ,            ,01,,111,,,,,,,にんじん,,,,"1,814","1,913","1,977","1,879","1,948","1,969","2,016","2,151",,Carrots,,,,,,
1000P,80*01       ,            ,01,,112,,,,,,,ごぼう,,,,911,865,900,929,896,914,925,907,,Burdocks,,,,,,
1000P,80*01       ,            ,01,,113,,,,,,,たまねぎ,,,,"2,266","2,604","2,503","2,417","2,380","2,735","2,802","2,754",,Onions,,,,,,
1000P,80*01       ,            ,01,,114,,,,,,,れんこん,,,,741,755,763,719,840,851,805,850,,Lotus roots,,,,,,
1000P,80*01       ,            ,01,,115,,,,,,,たけのこ,,,,656,650,639,638,615,615,660,641,,Bamboo shoots,,,,,,
1000P,80*01       ,            ,01,,116,,,,,,,他の根菜,,,,"2,690","2,689","2,697","2,593","2,670","2,758","2,864","2,956",,Other root vegetables,,,,,,
1000P,80*01       ,            ,01,,117,,,,,,他の野菜,,,,,"22,069","22,515","22,216","22,394","23,206","23,463","24,647","24,685",,Other vegetables,,,,,,
1000P,80*01       ,            ,01,,118,,,,,,,さやまめ,,,,"1,890","1,823","1,812","1,692","1,776","1,827","1,885","1,654",,String beans,,,,,,
1000P,80*01       ,            ,01,,119,,,,,,,かぼちゃ,,,,"1,106","1,177","1,187","1,124","1,124","1,220","1,315","1,285",,Pumpkins,,,,,,
1000P,80*01       ,            ,01,,120,,,,,,,きゅうり,,,,"2,594","2,618","2,670","2,612","2,651","2,643","2,787","2,735",,Cucumbers,,,,,,
1000P,80*01       ,            ,01,,121,,,,,,,なす,,,,"1,518","1,513","1,538","1,454","1,495","1,555","1,592","1,618",,Eggplants,,,,,,
1000P,80*01       ,            ,01,,122,,,,,,,トマト,,,,"5,296","5,420","5,522","6,034","6,249","6,168","6,610","6,714",,Tomatoes,,,,,,
1000P,80*01       ,            ,01,,123,,,,,,,ピーマン,,,,"1,346","1,432","1,417","1,419","1,494","1,478","1,666","1,663",,Green peppers,,,,,,
1000P,80*01       ,            ,01,,124,,,,,,,生しいたけ,,,,"1,709","1,709","1,586","1,491","1,533","1,547","1,623","1,618",,"“Shiitake”, Japanese mushrooms, fresh",,,,,,
,,,,,,,,,,,,しめじ,,,,"4,080","4,287","3,961","3,933","3,980","4,065","1,440","1,402",,"“Shimeji”, mushrooms",,,,,,
,,,,,,,,,,,,えのきたけ,,,,,,,,,,"1,039","1,023",,"“Enokitake”, mushrooms",,,,,,
1000P,80*01       ,            ,01,,125,,,,,,,他のきのこ,,,,,,,,,,"1,718","1,704",,Other mushrooms,,,,,,
1000P,80*01       ,            ,01,,126,,,,,,,他の野菜のその他,,,,"2,531","2,536","2,523","2,634","2,904","2,961","2,971","3,269",,Others,,,,,,
